Date,ПРИВАТБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,ОЩАДБАНК,УКРСИББАНК,УКРЕКСІМБАНК,УКРСОЦБАНК,ПРОМІНВЕСТБАНК,ОТП БАНК,СЕНС БАНК,НАДРА,ВТБ БАНК,ФОРУМ,ПУМБ,ФІНАНСИ ТА КРЕДИТ,ОМЕГА БАНК,БРОКБІЗНЕСБАНК,УКРГАЗБАНК,УКРПРОМБАНК,КРЕДИТПРОМБАНК,РОДОВІД БАНК,ПІВДЕННИЙ,ЕРСТЕ БАНК,УНIКРЕДИТ БАНК,УНІВЕРСАЛ БАНК,ВIEЙБI БАНК,ПРАВЕКС-БАНК,ДОНГОРБАНК,КРЕДОБАНК,ДЕЛЬТА БАНК,ФІНАНСОВА ІНІЦІАТИВА,ХРЕЩАТИК,IМЕКСБАНК,СБЕРБАНК,СІТІБАНК,КАЛІОН БАНК УКРАЇНА,ІНДУСТРІАЛБАНК,IНДУСТРІАЛЬНО-ЕКСПОРТНИЙ БАНК,КИЇВ,БАНК МОРСЬКИЙ,ФІДОБАНК,БАНК КРЕДИТ ДНІПРО,КЛІРИНГОВИЙ ДІМ,ПРОКРЕДИТ БАНК,МЕГАБАНК,БМ БАНК,ВІЕС БАНК,ПІРЕУС БАНК МКБ,БТА БАНК,КРЕДИТ ЄВРОПА БАНК,ЄВРОПЕЙСЬКИЙ,ЕКСПРЕС-БАНК,АКТИВ БАНК,ЕКСПОБАНК,КАПІТАЛ,УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК,ХОУМ КРЕДИТ БАНК,УКРІНБАНК,АГРОПРОСПЕРІС БАНК,СОЮЗ,БАНК ТАВРИКА,IПОБАНК,АЛЬТБАНК,Діамантбанк,БГ БАНК,БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,УКРБІЗНЕСБАНК,СТАНДАРТ,БІГ ЕНЕРГІЯ,ПЛАТИНУМ БАНК,АРКАДА,ЕНЕРГОБАНК,БАЗИС,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ДЕМАРК,ПЕТРОКОММЕРЦ-УКРАЇНА,МІСТО БАНК,СХІДНОЄВРОПЕЙСЬКИЙ БАНК,ДНІСТЕР,ЗАХІДІНКОМБАНК,ПОЛТАВА - БАНК,БАНК ЗОЛОТІ ВОРОТА,АКЦЕНТ-БАНК,БАНК МЕРКУРІЙ,ЗЛАТОБАНК,ПІВДЕНКОМБАНК,ТРАНСБАНК,ФІНБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ІНПРОМБАНК,ФОРТУНА БАНК,БАНК РЕГІОНАЛЬНОГО РОЗВИТКУ,ЗЕМЕЛЬНИЙ БАНК,БАНК КАМБІО,ДАНІЕЛЬ,ПАРТНЕР-БАНК,СОЦКОМБАНК,ЛЬВІВ,УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ,УКРГАЗПРОМБАНК,МЕТАБАНК,ГЛОБУС,АВТОКРАЗБАНК,ІДЕЯ БАНК,IНТЕГРАЛ БАНК,АРТЕМ-БАНК,ТРАСТ,АРМА,ТЕРРА БАНК,НОВИЙ,АЙБОКС БАНК,БАНК БОГУСЛАВ,ПОРТО-ФРАНКО,КОМІНВЕСТБАНК,БАНК СТОЛИЦЯ,НАЦІОНАЛЬНИЙ КРЕДИТ,ОДЕСА-БАНК,БАНК ГРАНТ,УКРКОМУНБАНК,СИНТЕЗ,АКСІОМА,ПРОМЕКОНОМБАНК,ВОЛОДИМИРСЬКИЙ,ЄВРОПЕЙСЬКИЙ БАНК РАЦІОН.ФІНАНС.,БАНК КОНТРАКТ,ЄВРОГАЗБАНК,ЕРДЕ БАНК,ТК КРЕДИТ,УКРАЇНСЬКА ФІНАНСОВА ГРУПА,ЛЕГБАНК,РЕАЛ БАНК,ПРЕМIУМ,IНТЕРБАНК,IНВЕСТБАНК,ПОЛІКОМБАНК,ФІНРОСТБАНК,АКТАБАНК,ФІНЕКСБАНК,АКОРДБАНК,УКООПСПІЛКА,КРЕДИТВЕСТ БАНК,ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК,КОНКОРД,КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,ОКСІ БАНК,СТОЛИЧНИЙ,ТММ-БАНК,ПРАЙМ-БАНК,ДІАЛОГБАНК,ОЛІМПІЙСЬКА УКРАЇНА,ЄВРОБАНК,УНIКОМБАНК,"""ПРИЧОРНОМОР'Я""",МОТОР-БАНК,СХІДНО-ПРОМИСЛОВИЙ БАНК,ВЕЛЕС,РАДАБАНК,ЄВРОПРОМБАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,УКРБУДІНВЕСТБАНК,БАНК ФАМІЛЬНИЙ,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,НК БАНК,КРЕДИТ ОПТИМА БАНК,АСВІО БАНК,БАНК АЛЬЯНС,КЛАСИКБАНК,ДІАПАЗОН-МАКСИМУМ БАНК,АВАНТ-БАНК,БАНК 3/4,ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ,КРЕДІ АГРІКОЛЬ БАНК,ЄКАТЕРИНОСЛАВСЬКИЙ КОМЕРЦІЙНИЙ БАНК,СКАЙ БАНК,ДОЙЧЕ БАНК ДБУ,ПРОФІНБАНК,АПЕКС-БАНК,МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК,РАДИКАЛ БАНК,ГРІН БАНК,ЦЕНТР,МТБ БАНК,БАНК РИНКОВІ ТЕХНОЛОГІЇ,ТАСКОМБАНК,БАНК ПЕРШИЙ,А - БАНК,БАНК ВОСТОК,ДІВІ БАНК,БАНК СІЧ,ЮНЕКС БАНК,ІНТЕРКРЕДИТБАНК,ДЕРЖЗЕМБАНК,ІНГ БАНК УКРАЇНА,БАНК ФОРВАРД,ІНВЕСТБАНК,КСГ БАНК,ПФБ,ВЕРНУМ БАНК,СМАРТБАНК,ФІНАНСОВИЙ ПАРТНЕР,АЛЬПАРІ БАНК,БАНК МИХАЙЛІВСЬКИЙ,БАНК АВАНГАРД,БАНК ПОРТАЛ,ГЕФЕСТ,ВЕКТОР БАНК,КРИСТАЛБАНК,РВС БАНК,БАНК ЮНІСОН,МЕГА БАНК,КОМІНБАНК
2009-04-01,660325.0,230405.0,186315.0,118387.0,114644.0,122055.0,77672.0,52639.0,95235.0,51227.0,53248.0,26450.0,56002.0,75822.0,3052.0,42911.0,31659.0,31968.0,23572.0,34055.0,44168.0,5556.0,10488.0,3227.0,31162.0,49283.0,16095.0,26295.0,154376.0,23914.0,65140.0,16096.0,17325.0,3170.0,13686.0,11554.0,37816.0,4412.0,2712.0,14902.0,12668.0,2450.0,8248.0,21661.0,6191.0,5661.0,4932.0,4912.0,2557.0,4962.0,63881.0,4434.0,12798.0,729.0,2702.0,49469.0,9206.0,1633.0,6.0,3929.0,441.0,2131.0,6692.0,3046.0,4371.0,8018.0,6423.0,729.0,30557.0,5428.0,3508.0,9078.0,614.0,4700.0,6552.0,1870.0,3289.0,2526.0,5693.0,8093.0,5346.0,21307.0,3260.0,6114.0,3030.0,2023.0,1073.0,2755.0,3456.0,1551.0,2304.0,1529.0,2904.0,2398.0,3115.0,1186.0,1139.0,803.0,2461.0,4666.0,-525.0,1876.0,6906.0,4178.0,3399.0,1499.0,918.0,1319.0,4887.0,1418.0,796.0,1811.0,4471.0,1076.0,868.0,1371.0,3227.0,6862.0,-1567.0,481.0,1537.0,1070.0,904.0,2203.0,739.0,4147.0,1309.0,3959.0,871.0,1290.0,2306.0,8483.0,869.0,1261.0,804.0,1458.0,1221.0,1101.0,925.0,819.0,1352.0,139.0,1300.0,421.0,203.0,2644.0,-157.0,1047.0,112.0,387.0,1430.0,228.0,980.0,1177.0,681.0,354.0,-387.0,194.0,712.0,557.0,18.0,542.0,101.0,15.0,148.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-01,452346.0,271493.0,186945.0,130013.0,108241.0,117856.0,90150.0,63283.0,69360.0,45110.0,49928.0,29437.0,40468.0,65476.0,2043.0,45469.0,18069.0,27353.0,25499.0,26589.0,43407.0,10202.0,11168.0,4327.0,33341.0,52701.0,9616.0,30841.0,131205.0,1783.0,37520.0,13252.0,16132.0,4397.0,16402.0,11980.0,41482.0,2548.0,4273.0,13745.0,9572.0,2764.0,9577.0,19174.0,13121.0,5436.0,3675.0,7356.0,6037.0,1157.0,67774.0,4758.0,15256.0,465.0,3350.0,41310.0,5224.0,1859.0,134.0,5199.0,755.0,2271.0,7212.0,4167.0,3447.0,10035.0,4926.0,567.0,31929.0,9217.0,3678.0,9211.0,6656.0,4186.0,5294.0,1443.0,1578.0,1606.0,3075.0,8585.0,5273.0,14699.0,4197.0,4489.0,7431.0,700.0,1045.0,3110.0,1586.0,3946.0,1455.0,1268.0,2113.0,2277.0,1737.0,727.0,1083.0,698.0,4401.0,4865.0,2291.0,1490.0,6549.0,2713.0,2731.0,1373.0,469.0,1620.0,4424.0,1876.0,640.0,2369.0,5874.0,491.0,833.0,476.0,3542.0,6128.0,-122.0,202.0,745.0,367.0,221.0,1228.0,3760.0,4478.0,938.0,8233.0,1175.0,1346.0,5732.0,4555.0,1102.0,1281.0,918.0,6093.0,1597.0,1069.0,1021.0,713.0,1042.0,48.0,2123.0,529.0,141.0,375.0,1460.0,575.0,75.0,285.0,1137.0,,1108.0,1296.0,514.0,257.0,-46.0,1104.0,971.0,694.0,11.0,452.0,174.0,-2.0,139.0,-3.0,-3.0,-1.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-01,702990.0,360505.0,198145.0,141214.0,161924.0,121395.0,164631.0,109652.0,83635.0,43587.0,80558.0,45338.0,62866.0,60136.0,10224.0,51556.0,20363.0,24208.0,30016.0,25058.0,51074.0,59616.0,21406.0,5983.0,36838.0,50154.0,14507.0,41373.0,123729.0,3761.0,59735.0,15663.0,38176.0,4107.0,17915.0,17944.0,54447.0,3667.0,1737.0,17246.0,12608.0,5296.0,10632.0,19796.0,12148.0,6275.0,4243.0,5760.0,8011.0,,88865.0,12689.0,13284.0,636.0,5522.0,31907.0,4795.0,3129.0,-53.0,2737.0,572.0,1671.0,9821.0,5854.0,12478.0,10003.0,3478.0,411.0,30474.0,11802.0,4554.0,10132.0,20608.0,4932.0,5891.0,1753.0,1355.0,1459.0,2873.0,10359.0,5337.0,-3623.0,5733.0,5384.0,16926.0,1061.0,817.0,3657.0,1385.0,7428.0,1739.0,1599.0,2175.0,2681.0,3337.0,-221.0,1033.0,1855.0,4543.0,5762.0,7511.0,493.0,7460.0,6459.0,119.0,-288.0,348.0,2608.0,6903.0,2450.0,1051.0,2614.0,6132.0,351.0,638.0,,2099.0,6185.0,-2036.0,509.0,1532.0,935.0,1091.0,3812.0,6850.0,4735.0,799.0,8036.0,894.0,1451.0,1076.0,10059.0,1218.0,1540.0,3284.0,-44435.0,1327.0,4977.0,1000.0,676.0,1119.0,46.0,2495.0,378.0,519.0,283.0,1295.0,217.0,55.0,2368.0,1327.0,,1146.0,1521.0,930.0,480.0,478.0,4027.0,603.0,680.0,-1.0,355.0,-3.0,19.0,121.0,4219.0,546.0,8.0,-2.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,698813.0,301475.0,196212.0,130019.0,135245.0,120479.0,125969.0,60500.0,62308.0,33766.0,56497.0,33380.0,43024.0,62481.0,132102.0,45476.0,31887.0,,31011.0,19689.0,43586.0,21645.0,14729.0,5366.0,33212.0,57887.0,15362.0,29676.0,122515.0,1645.0,24965.0,14339.0,16829.0,4639.0,17760.0,12793.0,,3160.0,2361.0,13431.0,19723.0,3698.0,13488.0,23508.0,7134.0,6026.0,4127.0,17959.0,3932.0,,75095.0,4206.0,9466.0,597.0,3797.0,21749.0,5120.0,4927.0,1721.0,3539.0,62.0,1975.0,10339.0,3632.0,5347.0,9827.0,2605.0,359.0,30122.0,12304.0,4526.0,10941.0,4043.0,4072.0,4545.0,1254.0,,908.0,2100.0,10691.0,6100.0,6712.0,6709.0,1963.0,11090.0,230.0,-3297.0,3015.0,442.0,2237.0,,1895.0,2353.0,2461.0,6919.0,442.0,1604.0,891.0,3574.0,5650.0,-4088.0,2433.0,7387.0,2336.0,1529.0,1184.0,501.0,1402.0,5275.0,2568.0,1468.0,2569.0,5389.0,564.0,937.0,,1875.0,6190.0,-1284.0,962.0,1283.0,2458.0,1234.0,2066.0,16579.0,5805.0,1583.0,,1151.0,1977.0,-7878.0,2679.0,1438.0,1588.0,3771.0,-11061.0,1475.0,2082.0,867.0,1291.0,1093.0,136.0,1970.0,346.0,369.0,247.0,769.0,229.0,67.0,698.0,1871.0,,1567.0,1392.0,1064.0,425.0,211.0,4677.0,303.0,573.0,10.0,478.0,221.0,99.0,480.0,13495.0,442.0,32.0,-2.0,17.0,170490.0,11757.0,5704.0,20.0,4119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,620792.0,237579.0,228123.0,117359.0,114419.0,113440.0,101295.0,52345.0,45308.0,24684.0,45689.0,22948.0,41420.0,59291.0,26625.0,38087.0,21017.0,,20462.0,20228.0,39477.0,6319.0,12168.0,3741.0,26404.0,48871.0,16393.0,23488.0,130113.0,4915.0,23980.0,12875.0,17162.0,3710.0,,11183.0,,2422.0,1732.0,14064.0,9764.0,3128.0,10401.0,25279.0,5323.0,4372.0,2900.0,9403.0,6726.0,,47838.0,4990.0,6189.0,492.0,2926.0,10767.0,4282.0,5972.0,11921.0,3072.0,,1921.0,7441.0,2171.0,2849.0,8836.0,27.0,,-397.0,7812.0,4050.0,11013.0,4913.0,3759.0,8247.0,1473.0,,,1419.0,8731.0,5279.0,5642.0,5246.0,2171.0,8700.0,,-304.0,2714.0,414.0,1802.0,,1061.0,2020.0,1673.0,,563.0,1280.0,1052.0,2853.0,4669.0,-385.0,2236.0,7101.0,3205.0,878.0,974.0,,994.0,2712.0,1685.0,845.0,2110.0,4422.0,1132.0,1162.0,,2326.0,6715.0,-1109.0,795.0,389.0,1655.0,979.0,1724.0,11851.0,5874.0,1040.0,,1179.0,1418.0,1179.0,2765.0,1149.0,1259.0,2002.0,-8635.0,887.0,1801.0,600.0,1642.0,938.0,28.0,2405.0,443.0,343.0,307.0,496.0,-10.0,95.0,201.0,1296.0,,1129.0,1348.0,1139.0,356.0,461.0,2092.0,268.0,534.0,3.0,420.0,60.0,127.0,119.0,814.0,234.0,57.0,-2.0,88.0,14066.0,2436.0,1414.0,76.0,907.0,110.0,19806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,568936.0,271110.0,209739.0,127809.0,116410.0,121141.0,93817.0,57086.0,43104.0,23752.0,54960.0,27020.0,46805.0,62713.0,5039.0,44270.0,23104.0,,20892.0,17571.0,41762.0,7124.0,8687.0,5108.0,27635.0,60478.0,16925.0,28027.0,162286.0,3062.0,20411.0,14625.0,24618.0,3995.0,,13369.0,,2278.0,1739.0,15296.0,10126.0,3190.0,11723.0,24801.0,7552.0,5628.0,2795.0,2429.0,1993.0,,52510.0,3265.0,7940.0,568.0,3243.0,10283.0,5203.0,7405.0,20751.0,3445.0,,2434.0,9882.0,2026.0,2125.0,11697.0,322.0,,-190.0,7829.0,4317.0,8820.0,2113.0,3871.0,4807.0,1442.0,,,1196.0,9942.0,5818.0,6670.0,4391.0,2930.0,8233.0,,268.0,4078.0,308.0,1457.0,,36.0,2203.0,1258.0,,325.0,1385.0,980.0,3537.0,5347.0,1247.0,1758.0,9817.0,4822.0,1861.0,880.0,,933.0,2945.0,2382.0,926.0,2148.0,5347.0,485.0,2106.0,,3780.0,7280.0,-465.0,685.0,1315.0,1857.0,1050.0,1344.0,8140.0,7727.0,1332.0,,1230.0,1578.0,690.0,1791.0,1246.0,1473.0,1230.0,9184.0,887.0,1847.0,468.0,944.0,960.0,23.0,3406.0,637.0,266.0,367.0,441.0,1193.0,,686.0,717.0,,1558.0,1439.0,471.0,306.0,425.0,2119.0,327.0,521.0,7.0,332.0,34.0,291.0,1610.0,2128.0,134.0,192.0,13.0,282.0,14634.0,3035.0,1479.0,93.0,878.0,143.0,23965.0,1001.0,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,735644.0,307568.0,217671.0,135982.0,133825.0,133042.0,111159.0,67727.0,38651.0,10323.0,61188.0,29565.0,66030.0,69065.0,24944.0,49864.0,25262.0,,23154.0,12864.0,46332.0,4449.0,18815.0,5402.0,25750.0,62352.0,20038.0,28862.0,96287.0,8334.0,24552.0,15320.0,30298.0,4422.0,,12143.0,,2330.0,2548.0,18188.0,9563.0,3991.0,14605.0,23973.0,28730.0,6453.0,4609.0,2885.0,5773.0,,57635.0,3649.0,4801.0,679.0,3871.0,9283.0,7128.0,8293.0,34624.0,4076.0,,3354.0,11695.0,1864.0,2749.0,11648.0,446.0,,-226.0,8754.0,4805.0,8685.0,3485.0,4562.0,4628.0,1334.0,,,1153.0,11795.0,6272.0,4686.0,4536.0,4238.0,11426.0,,-85.0,4073.0,378.0,1544.0,,,2782.0,1499.0,,54.0,2419.0,1349.0,3717.0,6523.0,346.0,2943.0,10732.0,6491.0,2247.0,743.0,,1481.0,3065.0,3183.0,1366.0,2349.0,6073.0,77.0,5376.0,,3895.0,8754.0,-252.0,880.0,631.0,2178.0,1739.0,1682.0,2039.0,3013.0,3107.0,,1453.0,1598.0,342.0,4066.0,1781.0,1702.0,3342.0,2924.0,1071.0,2938.0,712.0,1177.0,1328.0,281.0,3820.0,740.0,432.0,260.0,409.0,1600.0,,175.0,1185.0,,1987.0,1641.0,1720.0,420.0,563.0,2142.0,365.0,509.0,10.0,412.0,71.0,649.0,130.0,435.0,181.0,93.0,-7.0,714.0,16775.0,7195.0,1580.0,306.0,878.0,197.0,25614.0,1516.0,64.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,883607.0,334640.0,248423.0,146154.0,137566.0,139432.0,88762.0,78083.0,35729.0,12172.0,60449.0,24095.0,61829.0,85134.0,19490.0,52438.0,27434.0,,28433.0,7959.0,50363.0,11059.0,14331.0,6452.0,25754.0,64185.0,20558.0,27115.0,133596.0,10991.0,25454.0,17246.0,27832.0,7554.0,,11749.0,,2639.0,2680.0,19611.0,14210.0,4497.0,16768.0,27706.0,-9972.0,7133.0,5065.0,3028.0,3634.0,,57196.0,4932.0,6395.0,885.0,4110.0,8697.0,7972.0,10885.0,32954.0,5106.0,,3261.0,12582.0,4862.0,3834.0,11764.0,888.0,,-75.0,9402.0,5686.0,10734.0,2699.0,4310.0,4640.0,2488.0,,,1323.0,13903.0,7318.0,10381.0,4433.0,5005.0,14633.0,,1583.0,4445.0,664.0,2236.0,,,3978.0,2213.0,,73.0,2608.0,1670.0,3464.0,7959.0,-838.0,4662.0,14935.0,8118.0,2391.0,639.0,,1925.0,4039.0,3743.0,1747.0,2880.0,6956.0,202.0,7205.0,,4389.0,8553.0,,806.0,1090.0,1133.0,1652.0,4391.0,10542.0,-16738.0,3737.0,,1815.0,1334.0,236.0,5754.0,1896.0,1872.0,2775.0,11730.0,1693.0,3514.0,630.0,1254.0,1379.0,256.0,2537.0,626.0,-134.0,293.0,68.0,364.0,,901.0,698.0,,1906.0,1855.0,2141.0,451.0,933.0,2962.0,307.0,465.0,19.0,531.0,148.0,425.0,287.0,45.0,812.0,119.0,21.0,1230.0,15151.0,5390.0,1757.0,503.0,1146.0,495.0,32695.0,2511.0,127.0,407.0,72565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,780038.0,270767.0,240695.0,86279.0,112883.0,114095.0,83136.0,65109.0,29757.0,-23718.0,64999.0,17628.0,52038.0,66554.0,23659.0,47073.0,23021.0,,23106.0,5927.0,45814.0,7039.0,14503.0,5747.0,27644.0,60222.0,17055.0,24026.0,161348.0,3567.0,21440.0,16870.0,27718.0,4877.0,,10976.0,,2292.0,1810.0,15581.0,9991.0,4472.0,14559.0,29431.0,15626.0,5893.0,4199.0,2376.0,4035.0,,47166.0,4436.0,6004.0,703.0,3738.0,8199.0,7786.0,9303.0,25760.0,4572.0,,3868.0,11346.0,2576.0,2566.0,11070.0,514.0,,-132.0,13436.0,4074.0,8043.0,2576.0,3504.0,4604.0,1632.0,,,1024.0,10508.0,7756.0,14066.0,5015.0,5541.0,9818.0,,1630.0,3867.0,241.0,2331.0,,,3011.0,2132.0,,35.0,2336.0,1610.0,2858.0,6034.0,501.0,4065.0,11534.0,7472.0,1975.0,506.0,,2323.0,4168.0,2809.0,1431.0,2083.0,5983.0,187.0,7223.0,,3922.0,8264.0,,542.0,882.0,216.0,1576.0,1578.0,1119.0,13151.0,4092.0,,1593.0,1182.0,240.0,5149.0,1733.0,1560.0,5930.0,14185.0,966.0,2439.0,640.0,1052.0,1176.0,125.0,2502.0,509.0,845.0,226.0,550.0,-2.0,,776.0,410.0,,1952.0,1447.0,1782.0,387.0,409.0,2802.0,425.0,389.0,31.0,870.0,222.0,201.0,183.0,28.0,1095.0,78.0,99.0,1903.0,10949.0,2205.0,1558.0,1418.0,1049.0,529.0,32398.0,1699.0,71.0,107.0,16916.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-01,986426.0,310808.0,226512.0,136393.0,126583.0,118900.0,77907.0,74318.0,50592.0,28360.0,84081.0,19827.0,58992.0,69971.0,58400.0,50107.0,26326.0,,25340.0,-48.0,51249.0,8811.0,13903.0,7279.0,43991.0,57295.0,17420.0,26176.0,213613.0,3636.0,22797.0,16615.0,34068.0,5612.0,,9560.0,,2219.0,1860.0,16887.0,14201.0,4899.0,17261.0,26946.0,3544.0,6655.0,5114.0,4328.0,6627.0,,53480.0,6619.0,5915.0,810.0,3976.0,,8357.0,10106.0,17946.0,4986.0,,4193.0,12898.0,,3191.0,13509.0,550.0,,-710.0,17830.0,4260.0,7939.0,2873.0,3509.0,5551.0,1582.0,,,1734.0,,8960.0,25203.0,4603.0,5050.0,14455.0,,3191.0,3917.0,114.0,2717.0,,,2573.0,1994.0,,19.0,2513.0,2047.0,3453.0,6557.0,1380.0,4037.0,15313.0,7777.0,1088.0,703.0,,3681.0,3814.0,3930.0,1638.0,1952.0,6448.0,32.0,9700.0,,4300.0,10028.0,,375.0,744.0,207.0,1978.0,3450.0,5774.0,15337.0,2820.0,,1435.0,1403.0,218.0,3252.0,1643.0,1922.0,5027.0,16283.0,1378.0,1630.0,731.0,1263.0,1267.0,183.0,3169.0,697.0,271.0,232.0,816.0,,,768.0,394.0,,2470.0,1574.0,1533.0,482.0,423.0,3585.0,336.0,272.0,49.0,543.0,295.0,225.0,149.0,283.0,388.0,95.0,169.0,3940.0,12588.0,1064.0,1632.0,1579.0,1613.0,612.0,32553.0,2272.0,62.0,202.0,18839.0,1105.0,14867.0,5506.0,22129.0,15092.0,,,,,,,,,,,,,,,,,,,,,,,,
